Address,Asset,Start_Block,Status,End_Block
0xe5350e927b904fdb4d2af55c566e269bb3df1941,wbtc,17781510,self-liquidation,17991573.0
0xe5350e927b904fdb4d2af55c566e269bb3df1941,weth,18438197,repaid,18723453.0
0xe5350e927b904fdb4d2af55c566e269bb3df1941,weth,19164116,repaid,19336392.0
0xe5350e927b904fdb4d2af55c566e269bb3df1941,ll_1,19535111,repaid,19597092.0
0xe5350e927b904fdb4d2af55c566e269bb3df1941,ll_0,19879293,repaid,19881710.0
0x175c0ad71624a537cf594751a0a98c2fe85f950c,wsteth,17445817,repaid,17572780.0
0xbea37e65138ef4e439c96cd6b06240ca17750a62,wsteth,17446801,repaid,17852416.0
0xa0ef3fcb982205d961badd938dd6f9b6a8f3f22e,wsteth,17447568,repaid,17523155.0
0xa0ef3fcb982205d961badd938dd6f9b6a8f3f22e,wsteth,17523200,self-liquidation,18573065.0
0xb0e83c2d71a991017e0116d58c5765abc57384af,wsteth,17447613,repaid,17605160.0
0xb0e83c2d71a991017e0116d58c5765abc57384af,wsteth,17636223,repaid,18753928.0
0xb0e83c2d71a991017e0116d58c5765abc57384af,weth,17941034,repaid,17941095.0
0x080f315004782bd0103678c0791a6866903fb8be,wsteth,17448035,repaid,17456085.0
0x080f315004782bd0103678c0791a6866903fb8be,wsteth,17456096,forced-liquidation,17480678.0
0x080f315004782bd0103678c0791a6866903fb8be,wsteth,17486532,forced-liquidation,17937442.0
0x080f315004782bd0103678c0791a6866903fb8be,wsteth,17947433,repaid,18435659.0
0x156b4a5d4240d4f4c9937f96ea5fc2d318f28d96,wsteth,17448339,self-liquidation,17593893.0
0x156b4a5d4240d4f4c9937f96ea5fc2d318f28d96,wbtc,18427388,self-liquidation,19095486.0
0x156f74dd2a95c5d8148e7706488ae641d8d2eb83,wsteth,17448363,repaid,17538253.0
0x156f74dd2a95c5d8148e7706488ae641d8d2eb83,wsteth,18007051,repaid,19531413.0
0x156f74dd2a95c5d8148e7706488ae641d8d2eb83,wbtc,18390671,repaid,18747482.0
